label,text
ham,Subject: Meeting schedule Please find attached the meeting schedule for tomorrow.
spam,Subject: WIN a FREE iPhone Click here to claim your prize now.
ham,Subject: Project update The project is on track and will be completed by the deadline.
spam,Subject: You won lottery Claim your $1,000,000 lottery winnings today!
ham,Subject: Lunch plans Are we still on for lunch at 1 PM?
spam,Subject: Earn money fast Make $5000 per week working from home.
ham,Subject: Invoice Attached is the invoice for last monthâ€™s services.
spam,Subject: Get rich quick Double your income in 30 days guaranteed!
ham,Subject: Flight tickets Your flight tickets have been confirmed.
spam,Subject: Free vacation Win a free trip to Hawaii now!
